id,team,branch_name,isSoftware,link,updated
"tag:gitlab.igem.org,2024-09-26:592453",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T16:46:33Z
"tag:gitlab.igem.org,2024-09-26:592454",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T16:46:37Z
"tag:gitlab.igem.org,2024-09-26:592455",GEC-Beijing,main,False,https://gitlab.igem.org/2024/gec-beijing/,2024-09-26T16:47:07Z
"tag:gitlab.igem.org,2024-09-26:592456",TUDarmstadt,main,False,https://gitlab.igem.org/2024/tudarmstadt/,2024-09-26T16:47:36Z
"tag:gitlab.igem.org,2024-09-26:592457",TUDarmstadt,main,False,https://gitlab.igem.org/2024/tudarmstadt/,2024-09-26T16:48:23Z
"tag:gitlab.igem.org,2024-09-26:592458",AFCM-Egypt,main,False,https://gitlab.igem.org/2024/afcm-egypt/,2024-09-26T16:48:39Z
"tag:gitlab.igem.org,2024-09-26:592459",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T16:48:52Z
"tag:gitlab.igem.org,2024-09-26:592460",NJTECH-CHINA-A,main,False,https://gitlab.igem.org/2024/njtech-china-a/,2024-09-26T16:49:07Z
"tag:gitlab.igem.org,2024-09-26:592461",TU-Dresden,main,False,https://gitlab.igem.org/2024/tu-dresden/,2024-09-26T16:49:11Z
"tag:gitlab.igem.org,2024-09-26:592462",WHU-China,main,False,https://gitlab.igem.org/2024/whu-china/,2024-09-26T16:49:14Z
"tag:gitlab.igem.org,2024-09-26:592463",TUDarmstadt,main,False,https://gitlab.igem.org/2024/tudarmstadt/,2024-09-26T16:49:19Z
"tag:gitlab.igem.org,2024-09-26:592464",Toulouse-INSA-UPS,main,False,https://gitlab.igem.org/2024/toulouse-insa-ups/,2024-09-26T16:50:16Z
"tag:gitlab.igem.org,2024-09-26:592465",NJMU-CHINA,main,False,https://gitlab.igem.org/2024/njmu-china/,2024-09-26T16:50:18Z
"tag:gitlab.igem.org,2024-09-26:592466",BOKU-Vienna,main,False,https://gitlab.igem.org/2024/boku-vienna/,2024-09-26T16:50:58Z
"tag:gitlab.igem.org,2024-09-26:592467",REC-CHENNAI,main,False,https://gitlab.igem.org/2024/rec-chennai/,2024-09-26T16:51:03Z
"tag:gitlab.igem.org,2024-09-26:592468",Hannover,main,False,https://gitlab.igem.org/2024/hannover/,2024-09-26T16:51:25Z
"tag:gitlab.igem.org,2024-09-26:592469",TUDarmstadt,main,False,https://gitlab.igem.org/2024/tudarmstadt/,2024-09-26T16:51:28Z
"tag:gitlab.igem.org,2024-09-26:592470",Toulouse-INSA-UPS,main,False,https://gitlab.igem.org/2024/toulouse-insa-ups/,2024-09-26T16:51:30Z
"tag:gitlab.igem.org,2024-09-26:592471",BotchanLab-Tokyo,main,False,https://gitlab.igem.org/2024/botchanlab-tokyo/,2024-09-26T16:51:40Z
"tag:gitlab.igem.org,2024-09-26:592472",SVCE-CHENNAI,main,False,https://gitlab.igem.org/2024/svce-chennai/,2024-09-26T16:51:49Z
"tag:gitlab.igem.org,2024-09-26:592473",SubCat-HS,main,False,https://gitlab.igem.org/2024/subcat-hs/,2024-09-26T16:51:56Z
"tag:gitlab.igem.org,2024-09-26:592474",SUSTechOCEAN,main,False,https://gitlab.igem.org/2024/sustechocean/,2024-09-26T16:52:02Z
"tag:gitlab.igem.org,2024-09-26:592475",Tsinghua,main,False,https://gitlab.igem.org/2024/tsinghua/,2024-09-26T16:52:12Z
"tag:gitlab.igem.org,2024-09-26:592476",WHU-China,main,False,https://gitlab.igem.org/2024/whu-china/,2024-09-26T16:52:21Z
"tag:gitlab.igem.org,2024-09-26:592477",Toulouse-INSA-UPS,main,False,https://gitlab.igem.org/2024/toulouse-insa-ups/,2024-09-26T16:52:41Z
"tag:gitlab.igem.org,2024-09-26:592478",NWU-CHINA-A,main,False,https://gitlab.igem.org/2024/nwu-china-a/,2024-09-26T16:52:58Z
"tag:gitlab.igem.org,2024-09-26:592479",SFLS-Hangzhou,main,False,https://gitlab.igem.org/2024/sfls-hangzhou/,2024-09-26T16:53:06Z
"tag:gitlab.igem.org,2024-09-26:592480",REC-CHENNAI,main,False,https://gitlab.igem.org/2024/rec-chennai/,2024-09-26T16:53:08Z
"tag:gitlab.igem.org,2024-09-26:592482",NJMU-CHINA,main,False,https://gitlab.igem.org/2024/njmu-china/,2024-09-26T16:53:12Z
"tag:gitlab.igem.org,2024-09-26:592483",WHU-China,main,False,https://gitlab.igem.org/2024/whu-china/,2024-09-26T16:53:17Z
"tag:gitlab.igem.org,2024-09-26:592484",TUDarmstadt,main,False,https://gitlab.igem.org/2024/tudarmstadt/,2024-09-26T16:53:22Z
"tag:gitlab.igem.org,2024-09-26:592485",Bielefeld-CeBiTec,main,False,https://gitlab.igem.org/2024/bielefeld-cebitec/,2024-09-26T16:53:28Z
"tag:gitlab.igem.org,2024-09-26:592487",Toulouse-INSA-UPS,main,False,https://gitlab.igem.org/2024/toulouse-insa-ups/,2024-09-26T16:54:13Z
"tag:gitlab.igem.org,2024-09-26:592488",LCG-Global,main,False,https://gitlab.igem.org/2024/lcg-global/,2024-09-26T16:54:26Z
"tag:gitlab.igem.org,2024-09-26:592489",UniMuenster,dev,True,https://gitlab.igem.org/2024/software-tools/unimuenster/,2024-09-26T16:54:30Z
"tag:gitlab.igem.org,2024-09-26:592490",WHU-China,main,False,https://gitlab.igem.org/2024/whu-china/,2024-09-26T16:54:46Z
"tag:gitlab.igem.org,2024-09-26:592491",SubCat-HS,main,False,https://gitlab.igem.org/2024/subcat-hs/,2024-09-26T16:55:03Z
"tag:gitlab.igem.org,2024-09-26:592492",WHU-China,main,False,https://gitlab.igem.org/2024/whu-china/,2024-09-26T16:55:27Z
"tag:gitlab.igem.org,2024-09-26:592493",Manchester,main,False,https://gitlab.igem.org/2024/manchester/,2024-09-26T16:55:32Z
"tag:gitlab.igem.org,2024-09-26:592494",TUDarmstadt,main,False,https://gitlab.igem.org/2024/tudarmstadt/,2024-09-26T16:55:46Z
